name,id,counts,group,age_group
Vanilla Ice Cream,5,2639,Dessert,1
Pies,9,989,Dessert,1
Cocoa,11,2429,Dessert,1
Ice Cream,14,1463,Dessert,1
Rice Pudding,17,1022,Dessert,1
Raisins,24,969,Dessert,1
Assorted Cakes,37,2254,Dessert,1
Peach Pie,62,641,Dessert,1
Chocolate Ice Cream,63,1818,Dessert,1
Pumpkin Pie,65,753,Dessert,1
Strawberry Ice Cream,69,1263,Dessert,1
Cakes,76,490,Dessert,1
Charlotte Russe,79,983,Dessert,1
Coffee Ice Cream,88,924,Dessert,1
Dessert,99,872,Dessert,1
Assorted Cake,100,1125,Dessert,1
Mince Pie,108,755,Dessert,1
Welsh Rarebit,70,818,Dessert,1
Green Apple Pie,72,476,Dessert,1
Petits Fours,90,1159,Dessert,1
Meringue Glacee,129,831,Dessert,1
Berries,4,933,Dessert,1
Fruits,10,1073+2089,Dessert,1
Watermelon,38,867,Dessert,1
Bananas,46,1296,Dessert,1
Plums,75,558,Dessert,1
Figs,97,534,Dessert,1
Tomato,125,503,Dessert,1
Orange Juice,1,2502,Drink,1
Apple Juice,2,1508,Drink,1
Demi Tasse,6,4014,Drink,1
Tea,7,5522,Drink,1
Cafe,16,11294,Drink,1
Sauterne,36,660,Drink,1
Maraschino,39,547,Drink,1
Pineapple Juice,48,597,Drink,1
Liqueurs,71,528,Drink,1
Grape Juice,86,1263,Drink,1
Ginger Ale,89,544,Drink,1
Lemonade,102,505,Drink,1
Roman Punch,112,713,Drink,1
Buttermilk,122,1003,Drink,1
St Julien,58,550,Drink,1
Port,66,663,Drink,1
Sherry,67,470,Drink,1
Sanka,101,627,Drink,1
Benedictine,111,805,Drink,1
Pontet Canet,132,486,Drink,1
Apollinaris,135,1743,Drink,1
Mashed Potatoes,3,3468,Food,1
Baked Potatoes,8,1867,Food,1
Ham,13,2001,Food,1
Chicken,19,888,Food,1
Apple Pie,22,1908,Food,1
Roast Beef,23,1837,Food,1
Spinach,25,1059,Food,1
Pork Chops,26,542,Food,1
Corned Beef,27,1161,Food,1
Boiled Eggs (2),28,1120,Food,1
Cold Roast Beef,29,1098,Food,1
Scrambled Eggs,30,946,Food,1
Fried Potatoes,31,886,Food,1
Boiled Potatoes,32,3043,Food,1
Stewed Tomatoes,34,2089,Food,1
Green Peas,40,2204,Food,1
Fried Eggs,42,904,Food,1
Toast,44,519,Food,1
Hennessey,47,762,Food,1
Plain Omelet,52,1248,Food,1
Ham And Eggs,54,850,Food,1
Corn,56,678,Food,1
Fried Egg Plant,59,1063,Food,1
Dry Toast,60,1009,Food,1
Cauliflower,61,972,Food,1
Buttered Toast,64,767,Food,1
Milk,77,2432,Food,1
Tenderloin Steak,80,774,Food,1
Cold Ham,82,782,Food,1
Mutton Chops (2),83,827,Food,1
Macaroons,87,708,Food,1
Cold Corned Beef,92,564,Food,1
Lima Beans,93,1550,Food,1
Cream Cheese,94,1343,Food,1
Tongue,95,766,Food,1
Pickled Beets,98,510,Food,1
Boiled Rice,104,1119,Food,1
