date,price
1880,1
1884,1
1887,1
1889,1
1892,3
1894,2
1895,6
1896,3
1897,6
1898,13
1899,28
1900,301
1901,162
1905,23
1906,22
1907,23
1908,2
1910,38
1912,8
1913,61
1914,116
1915,14
1916,1
1917,192
1918,72
1919,24
1920,15
1921,54
1924,1
1925,1
1927,4
1928,5
1929,3
1931,2
1932,6
1933,225
1934,1
1935,2
1937,45
1938,29
1939,27
1940,37
1941,31
1942,4
1943,30
1944,18
1945,18
1946,16
1947,11
1948,16
1949,31
1950,15
1951,2
1952,9
1953,19
1954,13
1955,30
1957,25
1958,27
1959,35
1960,11
1961,18
1962,15
1963,10
1964,4
1965,17
1966,2
1967,2
1968,2
1969,16
1970,1
1971,4
1972,1
1973,6
1974,1
1975,1
1977,1
1978,1
1979,2
1981,3
1984,1
1985,3
1987,3
1989,1
